MapID,Algorithm,PathLength,NodesVisited,TimeMs
3b226f704bce2940,JPS,44,3,70.112
aa1cbece11c699b5,JPS,0,47,45.046
aa1cbece11c699b5,JPS,0,47,44.603
aa1cbece11c699b5,JPS,0,47,44.645
aa1cbece11c699b5,JPS,76,4,23.357
aa1cbece11c699b5,JPS,0,47,44.656
aa1cbece11c699b5,JPS,78,4,23.413
aa1cbece11c699b5,JPS,0,47,44.642
aa1cbece11c699b5,JPS,67,7,33.976
aa1cbece11c699b5,JPS,0,47,45.110
3b226f704bce2940,JPS,44,3,69.418
70a69fec14387fec,JPS,0,15,55.958
70a69fec14387fec,JPS,0,15,56.321
70a69fec14387fec,JPS,0,15,56.240
70a69fec14387fec,JPS,0,15,56.068
70a69fec14387fec,JPS,54,7,34.129
70a69fec14387fec,JPS,0,15,56.138
70a69fec14387fec,JPS,0,15,56.213
70a69fec14387fec,JPS,57,6,33.310
3b226f704bce2940,A*,108,1607,27.628
3b226f704bce2940,JPS,62,3,69.209
3b226f704bce2940,A*,108,1607,27.949
3b226f704bce2940,JPS,62,3,69.153
3b226f704bce2940,A*,108,1607,27.811
3b226f704bce2940,Dijkstra,108,6554,56.046
3b226f704bce2940,JPS,62,3,68.994
3b226f704bce2940,A*,108,1607,27.430
3b226f704bce2940,Dijkstra,108,6554,55.963
3b226f704bce2940,JPS,62,3,69.121
3b226f704bce2940,Dijkstra,108,6554,55.859
3b226f704bce2940,JPS,62,3,69.401
3b226f704bce2940,A*,108,1607,27.578
3b226f704bce2940,Dijkstra,108,6554,56.072
3b226f704bce2940,JPS,62,3,69.521
27412043f4e8646b,JPS,0,22,37.629
56e477909f4eb64e,JPS,0,17,67.723
56e477909f4eb64e,A*,105,1523,27.379
56e477909f4eb64e,Dijkstra,105,7143,60.639
56e477909f4eb64e,JPS,29,5,70.541
56e477909f4eb64e,JPS,34,4,66.797
56e477909f4eb64e,JPS,37,5,70.961
56e477909f4eb64e,JPS,26,6,44.005
56e477909f4eb64e,JPS,61,13,77.668
56e477909f4eb64e,JPS,64,15,80.902
56e477909f4eb64e,JPS,66,18,111.435
56e477909f4eb64e,JPS,0,14,65.135
56e477909f4eb64e,JPS,0,17,67.385
56e477909f4eb64e,JPS,62,15,82.342
56e477909f4eb64e,JPS,67,15,77.424
56e477909f4eb64e,JPS,0,16,47.992
56e477909f4eb64e,JPS,43,5,71.592
56e477909f4eb64e,JPS,51,5,70.921
56e477909f4eb64e,JPS,56,6,76.596
3d32d9b3b2e27014,A*,73,2513,61.012
3d32d9b3b2e27014,Dijkstra,73,6980,94.214
3d32d9b3b2e27014,JPS,0,19,56.387
3d32d9b3b2e27014,A*,36,155,15.655
3d32d9b3b2e27014,Dijkstra,36,2831,41.030
3d32d9b3b2e27014,JPS,36,8,28.918
956f70126c1931bb,JPS,62,9,10.892
ce9226bfae273249,JPS,0,343,100.550
ce9226bfae273249,JPS,33,14,7.750
ce9226bfae273249,JPS,54,5,2.689
ce9226bfae273249,JPS,59,126,239.408
ce9226bfae273249,A*,59,516,20.678
ce9226bfae273249,Dijkstra,59,4861,67.447
ce9226bfae273249,JPS,59,126,238.663
01c74984c2f6cb72,A*,60,756,24.853
01c74984c2f6cb72,Dijkstra,60,4809,64.448
01c74984c2f6cb72,JPS,0,280,126.583
01c74984c2f6cb72,Greedy,74,572,5.468
01c66f9424ac6d68,A*,205,2946,442.206
01c66f9424ac6d68,Dijkstra,205,60968,1027.451
01c66f9424ac6d68,JPS,0,10,92.365
01c66f9424ac6d68,Greedy,214,651,3.871
01c66f9424ac6d68,JPS,424,5,113.903
01c66f9424ac6d68,Greedy,424,1335,8.466
01c66f9424ac6d68,A*,424,3205,445.609
01c66f9424ac6d68,Dijkstra,424,199876,3068.748
f93e3bbe44ac3045,A*,710,8593,140.430
f93e3bbe44ac3045,Dijkstra,710,8595,104.151
f93e3bbe44ac3045,JPS,0,666,58.572
f93e3bbe44ac3045,Greedy,935,4430,47.551
eb5e4dca9ed3a430,A*,868,8275,12.340
eb5e4dca9ed3a430,Dijkstra,868,8284,8.819
eb5e4dca9ed3a430,JPS,0,70,0.088
eb5e4dca9ed3a430,Greedy,1188,4837,5.104
eb5e4dca9ed3a430,A*,868,8275,11.855
eb5e4dca9ed3a430,Greedy,1188,4837,5.123
